ID,Department,"Vendor Name","Contract Value","Contract Date","Start Year","End Year","Duration in Years","Value Per Year","Original Value","Number of Amendments",Description,"Original Vendor Name"
agr-3000453666,agr,"CANON CANADA",28387.93,2011-11-01,2011,2015,5,5677.586,19957.46,0,"533 Rental of Machinery, Office Furniture and Fixtures and Other Equipment","CANON CANADA INC."
agr-3000504584,agr,"ALLIANCE OF CROPSOIL AND ENVIRONMENTAL SCIENCE SOCIETY",159545.42,2013-01-24,2013,2016,4,39886.355,37148,3,"361 Electronic subscriptions and electronic publications","ALLIANCE OF CROP,SOIL AND ENVIRONMENTAL SCIENCE SOCIETY"
agr-3000553668,agr,"CASEWARE IDEA",14746.5,2014-07-10,2014,2014,1,14746.5,14746.5,0,"1285 Application Software (including COTS) and Application Development and Delivery Software","CASEWARE IDEA INC."
agr-3000549621,agr,MOON-MATZ,39211,2014-04-28,2014,2015,2,19605.5,39211,0,"423 Engineering Consultants - Other","MOON-MATZ LTD."
agr-3000557045,agr,"IMPERIAL OIL LIMITED",12535,2014-09-01,2014,2015,2,6267.5,10500,4,"1122 Gasoline","IMPERIAL OIL LIMITED"
agr-3000532683,agr,"FORD MOTOR COMPANY OF CANADA",35583.08,2013-11-21,2013,2014,2,17791.54,35583.08,0,"1261 Road Motor Vehicles","FORD MOTOR COMPANY OF CANADA"
agr-3000560991,agr,ENER-TECH,56229.93,2014-10-27,2014,2015,2,28114.965,56229.93,0,"630 Office Buildings",ENER-TECH
agr-3000563315,agr,"RHF SYSTEMS",23551.5,2014-12-04,2014,2015,2,11775.75,23551.5,0,"430 Scientific Services","RHF SYSTEMS LTD."
agr-3000537031,agr,"BAYVIEW TRUCKS & EQUIPMENT",19210,2014-01-16,2014,2014,1,19210,19210,0,"1219 Other Machinery and Parts","BAYVIEW TRUCKS & EQUIPMENT"
agr-3000539243,agr,"VWR  INTERNATIONAL",23465.19,2014-01-31,2014,2014,1,23465.19,23465.19,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","VWR  INTERNATIONAL LTD."
agr-20140394A,agr,"BIO-RAD LABORATORIES (CANADA)",92505,2014-01-28,2014,2014,1,92505,92505,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","BIO-RAD LABORATORIES (CANADA) LTD."
agr-3000525646,agr,"AUTOMATIC TEMPERATURE CONTROL",25000,2013-08-01,2013,2014,2,12500,25000,0,"645 Other Buildings","AUTOMATIC TEMPERATURE CONTROL"
agr-3000538455,agr,"ILLUMINA CANADA",20377.38,2014-01-27,2014,2014,1,20377.38,20377.38,0,"1139 Miscellaneous Chemical Products","ILLUMINA CANADA INC"
agr-3000558577,agr,"THE ASSOCIATES GROUP OF COMPANIES",10660.91,2014-10-01,2014,2015,2,5330.455,8380.93,0,"813 Temporary Help Services","THE ASSOCIATES GROUP OF COMPANIES"
agr-3000538713,agr,"UNIVERSITY OF NEW BRUNSWICK",130328.55,2014-02-27,2014,2016,3,43442.85,129893.5,2,"499 Other Professional Services not Elsewhere Specified","UNIVERSITY OF NEW BRUNSWICK"
agr-3000546092,agr,"VWR INTERNATIONAL CO",12371.09,2014-03-14,2014,2014,1,12371.09,12371.09,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","VWR INTERNATIONAL CO."
agr-3000531495,agr,"CAPITAL AIRWAYS",211480.5,2013-11-06,2013,2014,2,105740.25,171160.5,2,"859 Other Business Services not Elsewhere Specified","CAPITAL AIRWAYS INC"
agr-3000554493,agr,"MERCERS PAVING",14396.2,2014-07-23,2014,2014,1,14396.2,14396.2,0,"607 Highways, Roads and Streets","MERCER'S PAVING INC"
agr-20140718A,agr,MARKETWIRE,14916,2014-04-01,2014,2015,2,7458,14916,0,"351 Communications Professional Services not Elsewhere Specified",MARKETWIRE
agr-3000546819,agr,"RECO CONSTRUCTION 2010",15018.7,2014-02-11,2014,2014,1,15018.7,15018.7,0,"611 Waterworks and Sewage Systems","RECO CONSTRUCTION 2010 LTD."
agr-3000535572,agr,"ALLIANCE ENGINEERING & CONSTRUCTION",45705.11,2013-12-30,2013,2014,2,22852.555,39770.35,2,"630 Office Buildings","ALLIANCE ENGINEERING & CONSTRUCTION"
agr-3000462200,agr,"WASTE MANAGEMENT OF CANADA CORP",151844,2011-04-01,2012,2016,5,30368.8,57158.03,3,"859 Other Business Services not Elsewhere Specified","WASTE MANAGEMENT OF CANADA CORP."
agr-3000557052,agr,"IMPERIAL OIL LIMITED",80000,2014-09-01,2014,2015,2,40000,60000,2,"1124 Diesel Fuel","IMPERIAL OIL LIMITED"
agr-20130671A,agr,"BUCKHORN EARTHMOVING",695983.05,2013-08-27,2013,2014,2,347991.525,649425,2,"628 Other Engineering Works","BUCKHORN EARTHMOVING LTD."
agr-3000559104,agr,"UNIVERSITY OF GUELPH",98875,2014-10-07,2014,2017,4,24718.75,19775,3,"430 Scientific Services","UNIVERSITY OF GUELPH"
agr-3000534694,agr,"CANON CANADA",21616.17,2014-01-01,2014,2015,2,10808.085,13031.16,3,"533 Rental of Machinery, Office Furniture and Fixtures and Other Equipment","CANON CANADA INC."
agr-3000452483,agr,"CANON CANADA",14211.83,2011-11-01,2011,2016,6,2368.63833333,9637.64,2,"533 Rental of Machinery, Office Furniture and Fixtures and Other Equipment","CANON CANADA INC."
agr-3000522610,agr,"EASTERN COURIER PE",61442.06,2013-09-01,2013,2017,5,12288.412,13445.85,6,"213 Courier Services","EASTERN COURIER PE"
agr-7200000738,agr,"SPAGHETTI LOGIC",84750,2014-12-15,2014,2015,2,42375,84750,0,"473 Information Technology and Telecommunications Consultants","SPAGHETTI LOGIC INC."
agr-3000553776,agr,"SHARP EDGE TOOL",10452.5,2014-07-04,2014,2014,1,10452.5,10452.5,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","SHARP EDGE TOOL LTD."
agr-3000534228,agr,"VWR INTERNATIONAL",22307.26,2013-12-10,2013,2014,2,11153.63,22307.26,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","VWR INTERNATIONAL LTD."
agr-3000560147,agr,"FISHER SCIENTIFIC COMPANY",13645.74,2014-10-22,2014,2015,2,6822.87,13645.74,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","FISHER SCIENTIFIC COMPANY"
agr-3000531285,agr,"MID-PLAINS IMPLEMENTS",86068.5,2013-11-04,2013,2014,2,43034.25,86068.5,0,"628 Other Engineering Works","MID-PLAINS IMPLEMENTS LTD"
agr-3000557988,agr,"MAJOR BOX",24611.41,2014-09-22,2014,2015,2,12305.705,24611.41,0,"1179 Miscellaneous Manufactured Articles","MAJOR BOX INC"
agr-3000534118,agr,"ILLUMINA CANADA",25425.24,2013-12-09,2013,2014,2,12712.62,25425.24,0,"1171 Medical Supplies, etc.","ILLUMINA CANADA INC"
agr-3000548199,agr,"ALBRIGHT REFRIGERATION",10493.45,2014-03-03,2014,2014,1,10493.45,10493.45,0,"656 Heating, Air-conditioning and Refrigeration Equipment","ALBRIGHT REFRIGERATION LTD."
agr-3000553229,agr,"LES CONTROLES AC MONTREAL",367500.19,2014-07-03,2014,2015,2,183750.095,364355.78,3,"645 Other Buildings","LES CONTROLES A.C. MONTREAL INC"
agr-3000551320,agr,"AGILENT TECHNOLOGIES",12044.78,2014-05-29,2014,2016,3,4014.92666667,12044.78,0,"660 Measuring, Controlling, Laboratory, Medical and Optical Instruments, Apparatus and Accessories","AGILENT TECHNOLOGIES"
agr-7200000557,agr,"FLEX TECH SERVICES",2074210.09,2013-05-27,2013,2016,4,518552.5225,145740,4,"473 Information Technology and Telecommunications Consultants","FLEX TECH SERVICES"
agr-3000547202,agr,"EVCON FARM EQUIPMENT",24570,2014-03-25,2014,2014,1,24570,24570,0,"1219 Other Machinery and Parts","EVCON FARM EQUIPMENT"
agr-3000542236,agr,"DIVERSITECH EQUIPMENT & SALES (1984",14248.5,2014-02-19,2014,2014,1,14248.5,14248.5,0,"1219 Other Machinery and Parts","DIVERSITECH EQUIPMENT & SALES (1984"
agr-3000529901,agr,"PODOLINSKY EQUIPMENT",99263.85,2013-10-17,2013,2014,2,49631.925,99263.85,0,"1264 Other Vehicles","PODOLINSKY EQUIPMENT LTD."
agr-20140593A,agr,"IPSOS REID",74365.31,2014-02-05,2014,2014,1,74365.31,74082.8,0,"341 Communications Research Services","IPSOS REID"
agr-3000538166,agr,"LEICA MICROSYSTEMS (CANADA)",18525.22,2014-01-24,2014,2014,1,18525.22,18525.22,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","LEICA MICROSYSTEMS (CANADA) INC."
agr-3000560388,agr,"ALTIS HR",95504.78,2014-11-14,2014,2015,2,47752.39,95504.78,0,"813 Temporary Help Services","ALTIS HR"
agr-3000562327,agr,"R A MALATEST & ASSOCIATES",64918.51,2014-11-24,2014,2015,2,32459.255,63336.51,2,"491 Management Consulting","R A MALATEST & ASSOCIATES LTD"
agr-3000534526,agr,"WM & M (1993)",22059,2013-12-13,2013,2014,2,11029.5,16815,2,"630 Office Buildings","WM & M (1993) LTD"
agr-3000562145,agr,"CROP PRODUCTION SERVICES CANADA",11103,2014-11-20,2014,2014,1,11103,11103,0,"1139 Miscellaneous Chemical Products","CROP PRODUCTION SERVICES CANADA"
agr-3000534538,agr,"R A MALATEST & ASSOCIATES",65144.5,2013-12-13,2013,2014,2,32572.25,48194.5,2,"491 Management Consulting","R A MALATEST & ASSOCIATES LTD"
agr-3000544483,agr,"SERVICE AGRICOLE DE  LESTRIE",23857.31,2014-03-05,2014,2014,1,23857.31,23857.31,0,"1219 Other Machinery and Parts","SERVICE AGRICOLE DE  L'ESTRIE"
agr-3000560972,agr,"CARTER DAY INTERNATIONAL",18639.87,2014-11-03,2014,2014,1,18639.87,18639.87,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","CARTER DAY INTERNATIONAL INC."
agr-3000524342,agr,"STREAK FREE JANITORIAL (1068722 AB)",1240019.56,2013-08-01,2013,2016,4,310004.89,407380.05,3,"811 Contracted Building Cleaning","STREAK FREE JANITORIAL (1068722 AB LTD)"
agr-1900104569,agr,"INFORMA UK",10090.71,2014-10-06,2014,2014,1,10090.71,10090.71,0,"361 Electronic subscriptions and electronic publications","INFORMA UK LTD."
agr-3000536481,agr,"NULTON IRRIGATION",13341.3,2014-01-12,2014,2014,1,13341.3,13341.3,0,"1241 Plumbing Equipment and Fittings, Including Parts","NULTON IRRIGATION INC"
agr-3000520478,agr,"GUNTA  VITINS",24999,2013-06-07,2013,2015,3,8333,24999,0,"231 Data Communications Services","GUNTA  VITINS"
agr-3000557850,agr,"MAGNA ELECTRIC",21000,2014-10-01,2014,2014,1,21000,21000,0,"645 Other Buildings","MAGNA ELECTRIC"
agr-3000532918,agr,PUMPTRONICS,81726.75,2013-11-18,2013,2014,2,40863.375,81726.75,0,"630 Office Buildings","PUMPTRONICS INC"
agr-3000477099,agr,"ARI FINANCIAL SERVICES T46163",10971.24,2012-04-01,2012,2014,3,3657.08,4221,0,"682 Road Motor Vehicles - Non-military","ARI FINANCIAL SERVICES T46163"
agr-3000540377,agr,"AGRONOMIX SOFTWARE",14050.2,2014-02-07,2014,2014,1,14050.2,14050.2,0,"673 Computer Equipment - Client Computing Domain - Desktop/Personal/Portable","AGRONOMIX SOFTWARE INC."
agr-3000540166,agr,"NIKON CANADA",30952.1,2014-02-06,2014,2014,1,30952.1,30952.1,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","NIKON CANADA INC"
agr-7200000635,agr,"TURTLE TECHNOLOGIES",67800,2014-04-01,2014,2015,2,33900,40680,2,"473 Information Technology and Telecommunications Consultants","TURTLE TECHNOLOGIES INC"
agr-3000551662,agr,"OVATIO/ LEROUX",632578.81,2014-06-04,2014,2017,4,158144.7025,320920,2,"331 Exposition Services","OVATIO/ LEROUX INC."
agr-3000551034,agr,"WESTMAN AERIAL SPRAYING",24705.92,2014-05-26,2014,2014,1,24705.92,24439.95,0,"1121 Salt, Sulphur, Ores, Earth and Stone","WESTMAN AERIAL SPRAYING"
agr-20140104A,agr,"ILLUMINA CANADA",144423.24,2013-12-24,2013,2014,2,72211.62,144423.24,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","ILLUMINA CANADA INC"
agr-3000558454,agr,"INFORMA ECONOMICS",13125.14,2014-09-26,2014,2015,2,6562.57,13125.14,0,"361 Electronic subscriptions and electronic publications","INFORMA ECONOMICS INC"
agr-20110528A,agr,"IBM CANADA",5520000,2012-05-31,2012,2017,6,920000,1890000.01,3,"473 Information Technology and Telecommunications Consultants","IBM CANADA LTD"
agr-3000564275,agr,WINTERSTEIGER,23534.52,2014-12-16,2014,2015,2,11767.26,23534.52,0,"1219 Other Machinery and Parts",WINTERSTEIGER
agr-3000546664,agr,"FISHER SCIENTIFIC",22463.45,2014-03-19,2014,2014,1,22463.45,22463.45,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","FISHER SCIENTIFIC"
agr-3000560892,agr,"A/C MECHANICAL REFRIGERATION",21467.18,2014-10-28,2014,2015,2,10733.59,15537.5,2,"656 Heating, Air-conditioning and Refrigeration Equipment","A/C MECHANICAL REFRIGERATION LTD."
agr-7200000736,agr,"CGI INFORMATIONS SYSTEMS AND MANAGEMENT CONSULTANTS",95972.26,2014-12-16,2014,2015,2,47986.13,85773.78,2,"473 Information Technology and Telecommunications Consultants","CGI INFORMATIONS SYSTEMS AND MANAGEMENT CONSULTANTS INC."
agr-3000554374,agr,"ALLARD FIRE PROTECTION",31398.18,2014-07-01,2014,2017,4,7849.545,31398.18,0,"460 Protection Services","ALLARD FIRE PROTECTION INC."
agr-7200000536,agr,"SIERRA SYSTEMS CONSULTANTS",819662.46,2013-04-01,2013,2015,3,273220.82,18984,8,"473 Information Technology and Telecommunications Consultants","SIERRA SYSTEMS CONSULTANTS"
agr-3000538555,agr,"ERNST & YOUNG LLP",247587.52,2014-01-27,2014,2015,2,123793.76,118948.32,2,"401 Accounting and Audit Services","ERNST & YOUNG LLP"
agr-3000551813,agr,"S K SHEET METAL",27018.3,2014-06-05,2014,2014,1,27018.3,27018.3,0,"656 Heating, Air-conditioning and Refrigeration Equipment","S. K. SHEET METAL LTD."
agr-3000529655,agr,"CENTRE DE FORMATION CARON LTEE",24966,2013-11-04,2013,2014,2,12483,21660,2,"447 Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","CENTRE DE FORMATION CARON LTEE."
agr-3000529337,agr,"VEZINA ELECTRIQUE",11319.64,2013-10-10,2013,2014,2,5659.82,8123.33,0,"658 Electric Lighting, Distribution and Control Equipment","VEZINA ELECTRIQUE INC"
agr-3000563137,agr,"PARSONS BRINCKERHOFF  HALSALL",30001.5,2014-11-04,2014,2016,3,10000.5,20001,6,"421 Architectural Services","PARSONS BRINCKERHOFF  HALSALL INC."
agr-3000453038,agr,"CANON CANADA",53211.44,2011-12-01,2011,2016,6,8868.57333333,34289.17,3,"533 Rental of Machinery, Office Furniture and Fixtures and Other Equipment","CANON CANADA INC."
agr-3000545444,agr,"MILLER ENVIRONMENTAL CORP",22340.85,2014-03-11,2014,2014,1,22340.85,22340.85,0,"705 Waste Disposal","MILLER ENVIRONMENTAL CORP."
agr-3000558627,agr,"ÉRIC PAINCHAUD ARCHITECTE ET ASSOCIÉS",14371.89,2014-09-30,2014,2015,2,7185.945,10577.71,3,"421 Architectural Services","ÉRIC PAINCHAUD, ARCHITECTE ET ASSOCIÉS INC."
agr-3000519956,agr,"JOHN SWEEPING",18193,2013-06-03,2013,2015,3,6064.33333333,18193,0,"499 Other Professional Services not Elsewhere Specified","JOHN SWEEPING"
agr-3000529589,agr,"IMPERIAL OIL LIMITED",40200,2013-09-01,2013,2014,2,20100,37500,2,"1124 Diesel Fuel","IMPERIAL OIL LIMITED"
agr-3000533198,agr,"ENNS EQUIPMENT",18178.65,2013-11-28,2013,2014,2,9089.325,18178.65,0,"1219 Other Machinery and Parts","ENNS EQUIPMENT LTD"
agr-3000560316,agr,AVENSYS,14369.08,2014-10-20,2014,2014,1,14369.08,14369.08,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts",AVENSYS
agr-3000532155,agr,CIMAISE,26610.63,2013-11-15,2013,2015,3,8870.21,24374.71,3,"423 Engineering Consultants - Other","CIMAISE INC"
agr-3000521116,agr,QIAGEN,24780,2013-06-17,2013,2014,2,12390,24780,0,"1243 Measuring_ Controlling_ Laboratory_ Medical and Optical Equipment and Parts","QIAGEN INC"
agr-3000563921,agr,"OVATIO/ LEROUX",436982.3,2014-11-13,2014,2017,4,109245.575,226000,2,"331 Exposition Services","OVATIO/ LEROUX INC."
agr-3000538605,agr,"VWR  INTERNATIONAL",26732.39,2014-01-28,2014,2014,1,26732.39,26732.39,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","VWR  INTERNATIONAL LTD."
agr-20150146A,agr,BRAD,16876.55,2014-09-30,2014,2015,2,8438.275,16876.55,0,"301 Advertising Services","BRAD INC"
agr-3000465867,agr,"CANON CANADA",13201.32,2012-02-01,2012,2016,5,2640.264,9916.42,0,"533 Rental of Machinery, Office Furniture and Fixtures and Other Equipment","CANON CANADA INC."
agr-3000552893,agr,"FISHER SCIENTIFIC",15962.64,2014-06-25,2014,2015,2,7981.32,15962.64,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","FISHER SCIENTIFIC"
agr-3000537436,agr,"GENSCRIPT USA",17297.39,2014-01-24,2014,2014,1,17297.39,17297.39,0,"1139 Miscellaneous Chemical Products","GENSCRIPT USA INC."
agr-3000562498,agr,"VWR  INTERNATIONAL",12906.86,2014-11-25,2014,2014,1,12906.86,12906.86,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","VWR  INTERNATIONAL LTD."
agr-3000539934,agr,"FISHER SCIENTIFIC",10048.5,2014-02-05,2014,2014,1,10048.5,10048.5,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","FISHER SCIENTIFIC"
agr-3000528963,agr,"UNIVERSITY OF ALBERTA",19334.7,2013-10-15,2013,2014,2,9667.35,19334.7,0,"431 Scientific Consultants","UNIVERSITY OF ALBERTA"
agr-3000463836,agr,"DESIREE  JOHNSON",66624.6,2012-04-01,2012,2015,4,16656.15,22201.2,2,"811 Contracted Building Cleaning","DESIREE  JOHNSON"
agr-20140303A,agr,"HJV EQUIPMENT LIMITED",71295.6,2013-12-23,2013,2014,2,35647.8,71295.6,0,"1219 Other Machinery and Parts","HJV EQUIPMENT LIMITED."
agr-3000556094,agr,"GDI SERVICES (CANADA) LP",423982.95,2014-07-10,2014,2017,4,105995.7375,163229.34,2,"811 Contracted Building Cleaning","GDI SERVICES (CANADA) LP"
agr-3000545938,agr,"ROBERTSON IMPLEMENTS (1988)",10246.92,2014-03-13,2014,2014,1,10246.92,10246.92,0,"1249 Other Equipment and Parts","ROBERTSON IMPLEMENTS (1988) LTD."
agr-3000552402,agr,EMERION,79100,2014-06-18,2014,2015,2,39550,79100,0,"473 Information Technology and Telecommunications Consultants",EMERION
agr-20140373A,agr,"GETINGE CANADA LIMITED",44164.36,2014-02-04,2014,2014,1,44164.36,44164.36,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","GETINGE CANADA LIMITED"
agr-3000535620,agr,"TRADE WORKS INTERIORS CANADA CORP",96050,2013-12-24,2013,2014,2,48025,96050,0,"645 Other Buildings","TRADE WORKS INTERIORS CANADA CORP."
agr-3000516523,agr,"DOURIA MESLIOUI",16787.5,2013-04-25,2013,2014,2,8393.75,16787.5,0,"447 Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","DOURIA MESLIOUI"
agr-7200000692,agr,"TURTLE TECHNOLOGIES",24114.2,2014-10-01,2014,2014,1,24114.2,24114.2,0,"473 Information Technology and Telecommunications Consultants","TURTLE TECHNOLOGIES INC"
agr-3000559858,agr,"KEPLER SPACE",23730,2014-10-20,2014,2015,2,11865,23730,0,"3422 Suspense Account (debit) - Other Government Departments","KEPLER SPACE INC"
agr-3000539430,agr,"SIMPLEX GRINNELL",13743.9,2014-02-03,2014,2014,1,13743.9,13743.9,0,"665 Other Equipment","SIMPLEX GRINNELL"
agr-3000562510,agr,CARMICHAEL,29669.28,2014-11-25,2014,2015,2,14834.64,28765.28,2,"656 Heating, Air-conditioning and Refrigeration Equipment",CARMICHAEL
agr-3000494067,agr,"URBAN LIGHTHOUSE",215830,2012-10-19,2012,2016,5,43166,32770,3,"473 Information Technology and Telecommunications Consultants","URBAN LIGHTHOUSE INC"
agr-3000542489,agr,"BLUELINE NEW HOLLAND",20527.5,2014-02-20,2014,2014,1,20527.5,18687.5,0,"1219 Other Machinery and Parts","BLUELINE NEW HOLLAND LTD."
agr-3000527965,agr,"ERNST & YOUNG LLP",50400,2013-09-24,2013,2018,6,8400,50400,0,"401 Accounting and Audit Services","ERNST & YOUNG LLP"
agr-3000515662,agr,"CANADIAN CORPS OF COMMISSIONAIRES",182571.9,2013-04-17,2013,2014,2,91285.95,182571.9,0,"460 Protection Services","CANADIAN CORP. OF COMMISSIONAIRES"
