ID,Department,"Vendor Name","Contract Value","Contract Date","Start Year","End Year","Duration in Years","Value Per Year","Original Value","Number of Amendments",Description,"Original Vendor Name"
agr-1900089910,agr,"ARI FINANCIAL SERVICES",10039.62,2015-10-07,2015,2015,1,10039.62,10039.62,0,"682 Road Motor Vehicles - Non-military","ARI FINANCIAL SERVICES INC"
agr-3000551932,agr,"INSTITUT DE RECHERCHE EN BIOLOGIE VÉGÉTALE UNIVERSITÉ DE MONTRÉAL",186981.38,2014-06-10,2014,2016,3,62327.1266667,186981.38,0,"430 Scientific Services","INSTITUT DE RECHERCHE EN BIOLOGIE VÉGÉTALE - UNIVERSITÉ DE MONTRÉAL"
agr-20140717A,agr,MARKETWIRE,15820,2014-04-01,2014,2015,2,7910,15820,0,"351 Communications Professional Services not Elsewhere Specified",MARKETWIRE
agr-3000573608,agr,"K PEDERSEN EQUIPMENT",24049.61,2015-03-12,2015,2016,2,12024.805,18933.72,0,"1219 Other Machinery and Parts","K. PEDERSEN EQUIPMENT LTD."
agr-1900100360,agr,"ARI FINANCIAL SERVICES",11676.84,2015-11-20,2015,2015,1,11676.84,11676.84,0,"682 Road Motor Vehicles - Non-military","ARI FINANCIAL SERVICES INC"
agr-3000551295,agr,"WATSON MACEWEN ARCHITECTS",38239.2,2014-05-30,2014,2015,2,19119.6,25877,3,"421 Architectural Services","WATSON MACEWEN ARCHITECTS"
agr-3000563285,agr,DATAMONITOR,28417.5,2014-12-04,2014,2015,2,14208.75,28417.5,0,"361 Electronic subscriptions and electronic publications",DATAMONITOR
agr-3000560989,agr,"ELEANOR THOMSON",22800,2014-11-17,2014,2015,2,11400,22800,0,"430 Scientific Services","ELEANOR THOMSON"
agr-20161017A,agr,"VISION FOR YOU LLC",384300,2015-12-01,2015,2016,2,192150,384300,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","VISION FOR YOU LLC"
agr-3000517846,agr,"WESTPLACE ENTERPRISES",26250.03,2013-05-01,2013,2015,3,8750.01,10500,2,"655 Processing Machinery","WESTPLACE ENTERPRISES LTD."
agr-7200000589,agr,"MAPLESOFT GROUP",1616684.45,2013-09-18,2013,2018,6,269447.408333,124587.75,2,"473 Information Technology and Telecommunications Consultants","MAPLESOFT GROUP"
agr-3000593729,agr,"KONCRETE CONSTRUCTION GROUP",245306.25,2015-11-04,2015,2016,2,122653.125,163537.5,2,"628 Other Engineering Works","KONCRETE CONSTRUCTION GROUP"
agr-3000564064,agr,"BRONSON CONSULTING GROUP",24916.5,2014-12-16,2014,2015,2,12458.25,24916.5,0,"491 Management Consulting","BRONSON CONSULTING GROUP"
agr-3000593161,agr,"PLOMBERIE CARILLON CONFORT ÉLITE",22075.2,2015-10-30,2015,2015,1,22075.2,22075.2,0,"1219 Other Machinery and Parts","PLOMBERIE CARILLON INC / CONFORT ÉLITE"
agr-20150308A,agr,"IONICS MASS SPECTROMETRY GROUP",44070,2015-01-09,2015,2015,1,44070,44070,0,"1249 Other Equipment and Parts","IONICS MASS SPECTROMETRY GROUP"
agr-3000567625,agr,"JOHNSON CONTROLS #C3039",16195.2,2015-01-28,2015,2015,1,16195.2,15302.7,0,"1249 Other Equipment and Parts","JOHNSON CONTROLS #C3039"
agr-7200000697,agr,"TURTLE TECHNOLOGIES",123136.1,2014-10-22,2014,2015,2,61568.05,66862.1,2,"473 Information Technology and Telecommunications Consultants","TURTLE TECHNOLOGIES INC"
agr-3000443700,agr,"GOWLING LAFLEUR HENDERSON LLP",655000,2011-07-18,2011,2019,9,72777.7777778,551250,0,"410 Legal Services","GOWLING LAFLEUR HENDERSON LLP"
agr-3000585259,agr,QIAGEN,11160.36,2015-07-16,2015,2016,2,5580.18,11160.36,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","QIAGEN INC"
agr-3000569964,agr,"FISHER SCIENTIFIC",13204.8,2015-02-16,2015,2015,1,13204.8,13204.8,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","FISHER SCIENTIFIC"
agr-3000547627,agr,"CANADIAN CORPS OF COMMISSIONAIRES",82782,2014-04-01,2014,2015,2,41391,82782,0,"460 Protection Services","CORPS CANADIEN DES COMMISSIONNAIRES"
agr-3000511664,agr,"INSIDE WASHINGTON PUBLISHERS",38705.44,2013-03-01,2013,2017,5,7741.088,9676.36,3,"361 Electronic subscriptions and electronic publications","INSIDE WASHINGTON PUBLISHERS"
agr-7200000742,agr,"IBM CANADA",64307.66,2015-01-05,2015,2015,1,64307.66,64307.66,0,"473 Information Technology and Telecommunications Consultants","IBM CANADA LTD"
agr-3000571534,agr,"LES ALARMES PERFECTION",23971.66,2015-02-26,2015,2015,1,23971.66,23971.66,0,"1245 Safety and Sanitation Equipment and Parts","LES ALARMES PERFECTION"
agr-3000575234,agr,"AB SCIEX SALES LP",15017.46,2015-03-31,2015,2015,1,15017.46,14997.32,0,"1285 Application Software (including COTS) and Application Development and Delivery Software","AB SCIEX SALES LP"
agr-3000565609,agr,"QMR CONSULTING & PROFESSIONAL STAFFING",16385,2015-01-09,2015,2015,1,16385,16385,0,"491 Management Consulting","QMR CONSULTING & PROFESSIONAL STAFFING"
agr-3000564050,agr,"FISHER SCIENTIFIC",18370.42,2014-12-15,2014,2015,2,9185.21,18370.42,0,"660 Measuring, Controlling, Laboratory, Medical and Optical Instruments, Apparatus and Accessories","FISHER SCIENTIFIC"
agr-20160182A,agr,"SAS INSTITUTE",231100.82,2015-09-01,2015,2016,2,115550.41,231100.82,0,"1285 Application Software (including COTS) and Application Development and Delivery Software","SAS INSTITUTE (CANADA) INC"
agr-3000496842,agr,"CANON CANADA",47871.44,2012-12-01,2012,2016,5,9574.288,20401.02,2,"533 Rental of Machinery, Office Furniture and Fixtures and Other Equipment","CANON CANADA INC."
agr-3000490340,agr,"AGILENT TECHNOLOGIES",171974.7,2012-09-14,2012,2015,4,42993.675,57324.9,2,"660 Measuring, Controlling, Laboratory, Medical and Optical Instruments, Apparatus and Accessories","AGILENT TECHNOLOGIES"
agr-3000453666,agr,"CANON CANADA",28387.93,2011-11-01,2011,2015,5,5677.586,19957.46,0,"533 Rental of Machinery, Office Furniture and Fixtures and Other Equipment","CANON CANADA INC."
agr-20160768A,agr,"BIO-RAD LABORATORIES (CANADA)",102779.25,2015-12-15,2015,2016,2,51389.625,102779.25,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","BIO-RAD LABORATORIES (CANADA) LTD."
agr-3000504584,agr,"ALLIANCE OF CROPSOIL AND ENVIRONMENTAL SCIENCE SOCIETY",159545.42,2013-01-24,2013,2016,4,39886.355,37148,3,"361 Electronic subscriptions and electronic publications","ALLIANCE OF CROP,SOIL AND ENVIRONMENTAL SCIENCE SOCIETY"
agr-3000549621,agr,MOON-MATZ,39211,2014-04-28,2014,2015,2,19605.5,39211,0,"423 Engineering Consultants - Other","MOON-MATZ LTD."
agr-3000557045,agr,"IMPERIAL OIL LIMITED",12535,2014-09-01,2014,2015,2,6267.5,10500,4,"1122 Gasoline","IMPERIAL OIL LIMITED"
agr-3000560991,agr,ENER-TECH,56229.93,2014-10-27,2014,2015,2,28114.965,56229.93,0,"630 Office Buildings",ENER-TECH
agr-3000563315,agr,"RHF SYSTEMS",23551.5,2014-12-04,2014,2015,2,11775.75,23551.5,0,"430 Scientific Services","RHF SYSTEMS LTD."
agr-3000589982,agr,"IMPERIAL OIL LIMITED",21000,2015-09-01,2015,2016,2,10500,21000,0,"1122 Gasoline","IMPERIAL OIL LIMITED"
agr-3000569482,agr,"TIPP OFF",15750,2015-02-11,2015,2015,1,15750,15750,0,"658 Electric Lighting, Distribution and Control Equipment","TIPP OFF INC."
agr-3000558577,agr,"THE ASSOCIATES GROUP OF COMPANIES",10660.91,2014-10-01,2014,2015,2,5330.455,8380.93,0,"813 Temporary Help Services","THE ASSOCIATES GROUP OF COMPANIES"
agr-3000568707,agr,"SYNTHESIS AGRI-FOOD NETWORK",10074.26,2015-02-09,2015,2015,1,10074.26,10074.26,0,"491 Management Consulting","SYNTHESIS AGRI-FOOD NETWORK"
agr-3000582426,agr,"CONTROLLED ENVIRONMENTS LIMITED",21458.7,2015-06-12,2015,2015,1,21458.7,21458.7,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","CONTROLLED ENVIRONMENTS LIMITED"
agr-3000607210,agr,"OVATIO/ LEROUX",380101.31,2015-10-23,2015,2016,2,190050.655,380101.31,0,"331 Exposition Services","OVATIO/ LEROUX INC."
agr-3000538713,agr,"UNIVERSITY OF NEW BRUNSWICK",130328.55,2014-02-27,2014,2016,3,43442.85,129893.5,2,"499 Other Professional Services not Elsewhere Specified","UNIVERSITY OF NEW BRUNSWICK"
agr-3000572191,agr,"ATS SCIENTIFIC",18658.78,2015-03-03,2015,2015,1,18658.78,18658.78,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","ATS SCIENTIFIC INC."
agr-20140718A,agr,MARKETWIRE,14916,2014-04-01,2014,2015,2,7458,14916,0,"351 Communications Professional Services not Elsewhere Specified",MARKETWIRE
agr-3000577638,agr,MARBICON,81360,2015-04-22,2015,2016,2,40680,81360,0,"431 Scientific Consultants","MARBICON INC."
agr-3000595318,agr,"ATS SCIENTIFIC",22484.64,2015-11-24,2015,2016,2,11242.32,22484.64,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","ATS SCIENTIFIC INC."
agr-3000591774,agr,"DAVIDS LAWN CARE",13125,2015-11-01,2015,2016,2,6562.5,13125,0,"859 Other Business Services not Elsewhere Specified","DAVID'S LAWN CARE LTD"
agr-3000462200,agr,"WASTE MANAGEMENT OF CANADA CORP",151844,2011-04-01,2012,2016,5,30368.8,57158.03,3,"859 Other Business Services not Elsewhere Specified","WASTE MANAGEMENT OF CANADA CORP."
agr-3000592999,agr,"KENNEDY CLEANING SERVICES",18760.26,2015-11-01,2015,2016,2,9380.13,14197.32,2,"811 Contracted Building Cleaning","KENNEDY CLEANING SERVICES INC"
agr-3000557052,agr,"IMPERIAL OIL LIMITED",80000,2014-09-01,2014,2015,2,40000,60000,2,"1124 Diesel Fuel","IMPERIAL OIL LIMITED"
agr-3000591080,agr,"AG-QUEST HOLDINGS",24998.99,2015-10-06,2015,2016,2,12499.495,24998.99,0,"210 Transportation of Things not Elsewhere Specified","AG-QUEST HOLDINGS LTD"
agr-3000579870,agr,"LONG CREEK FARMS",63971.25,2015-05-12,2015,2015,1,63971.25,45071.25,2,"422 Engineering Consultants - Construction","LONG CREEK FARMS LTD"
agr-3000559104,agr,"UNIVERSITY OF GUELPH",98875,2014-10-07,2014,2017,4,24718.75,19775,3,"430 Scientific Services","UNIVERSITY OF GUELPH"
agr-3000534694,agr,"CANON CANADA",21616.17,2014-01-01,2014,2015,2,10808.085,13031.16,3,"533 Rental of Machinery, Office Furniture and Fixtures and Other Equipment","CANON CANADA INC."
agr-3000566191,agr,"MELISSA HENEY",65835,2015-02-01,2015,2018,4,16458.75,21945,3,"811 Contracted Building Cleaning","MELISSA HENEY"
agr-3000452483,agr,"CANON CANADA",14211.83,2011-11-01,2011,2016,6,2368.63833333,9637.64,2,"533 Rental of Machinery, Office Furniture and Fixtures and Other Equipment","CANON CANADA INC."
agr-3000522610,agr,"EASTERN COURIER PE",61442.06,2013-09-01,2013,2017,5,12288.412,13445.85,6,"213 Courier Services","EASTERN COURIER PE"
agr-7200000738,agr,"SPAGHETTI LOGIC",84750,2014-12-15,2014,2015,2,42375,84750,0,"473 Information Technology and Telecommunications Consultants","SPAGHETTI LOGIC INC."
agr-3000560147,agr,"FISHER SCIENTIFIC COMPANY",13645.74,2014-10-22,2014,2015,2,6822.87,13645.74,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","FISHER SCIENTIFIC COMPANY"
agr-7200000903,agr,"TURTLE TECHNOLOGIES",127695.65,2015-07-13,2015,2016,2,63847.825,82207.5,2,"473 Information Technology and Telecommunications Consultants","TURTLE TECHNOLOGIES INC"
agr-3000557988,agr,"MAJOR BOX",24611.41,2014-09-22,2014,2015,2,12305.705,24611.41,0,"1179 Miscellaneous Manufactured Articles","MAJOR BOX INC"
agr-3000595761,agr,"BRODER ELECTRIC",48219.36,2015-10-13,2015,2016,2,24109.68,32618.58,2,"658 Electric Lighting, Distribution and Control Equipment","BRODER ELECTRIC LTD"
agr-3000567421,agr,"URBAN GLASSWORKS",71085,2015-01-22,2015,2015,1,71085,71085,0,"628 Other Engineering Works","URBAN GLASSWORKS LTD"
agr-3000589585,agr,"UNIVERSITY OF SASKATCHEWAN",20524.56,2015-09-17,2015,2015,1,20524.56,20524.56,0,"1283 Computer Equipment - Client Computing Domain - Desktop / Personal / Portable (Includes related parts and peripherals)","UNIVERSITY OF SASKATCHEWAN"
agr-3000553229,agr,"LES CONTROLES AC MONTREAL",367500.19,2014-07-03,2014,2015,2,183750.095,364355.78,3,"645 Other Buildings","LES CONTROLES A.C. MONTREAL INC"
agr-3000551320,agr,"AGILENT TECHNOLOGIES",12044.78,2014-05-29,2014,2016,3,4014.92666667,12044.78,0,"660 Measuring, Controlling, Laboratory, Medical and Optical Instruments, Apparatus and Accessories","AGILENT TECHNOLOGIES"
agr-3000563291,agr,"CENTRE DE LANGUES INTERNATIONALES CHARPENTIER",59262,2015-01-05,2015,2016,2,29631,32704,3,"447 Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","CENTRE DE LANGUES INTERNATIONALES CHARPENTIER INC."
agr-3000563476,agr,"ABCE LANGUAGE SCHOOL",16800,2015-01-05,2015,2015,1,16800,16800,0,"447 Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","ABCE LANGUAGE SCHOOL INC."
agr-3000575863,agr,"MODSPACE FINANCIAL SERVICES",44863.35,2015-04-09,2015,2016,2,22431.675,33094.95,2,"570 Rental - Other","MODSPACE FINANCIAL SERVICES"
agr-7200000557,agr,"FLEX TECH SERVICES",2074210.09,2013-05-27,2013,2016,4,518552.5225,145740,4,"473 Information Technology and Telecommunications Consultants","FLEX TECH SERVICES"
agr-3000572877,agr,"FISHER SCIENTIFIC COMPANY",10792.63,2015-01-26,2015,2015,1,10792.63,10792.63,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","FISHER SCIENTIFIC COMPANY"
agr-3000579460,agr,CANSEL,11491.75,2015-05-08,2015,2015,1,11491.75,11491.75,0,"1223 Image/Video Communications Equipment (including related parts and peripherals)",CANSEL
agr-3000596557,agr,"COLUMBIA PROPERTY",160020,2015-12-01,2015,2017,3,53340,80010,2,"499 Other Professional Services not Elsewhere Specified","COLUMBIA PROPERTY"
agr-3000588008,agr,"PERFECTION PAVING",182805.75,2015-08-26,2015,2015,1,182805.75,170630,2,"607 Highways, Roads and Streets","PERFECTION PAVING LTD."
agr-3000579172,agr,"PALMIRA VINEYARDS",18080,2015-05-06,2015,2016,2,9040,18080,0,"431 Scientific Consultants","PALMIRA VINEYARDS"
agr-3000565833,agr,"THERMO FISHER SCIENTIFIC",37481.85,2015-01-13,2015,2015,1,37481.85,37481.85,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","THERMO FISHER SCIENTIFIC"
agr-7200000783,agr,"TURTLE TECHNOLOGIES",259696.6,2015-04-01,2015,2016,2,129848.3,16441.5,3,"473 Information Technology and Telecommunications Consultants","TURTLE TECHNOLOGIES INC"
agr-3000567494,agr,"FISHER SCIENTIFIC",15609.38,2015-01-27,2015,2015,1,15609.38,15609.38,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","FISHER SCIENTIFIC"
agr-3000571954,agr,"FS PARTNERS",19225.36,2015-02-24,2015,2205,191,100.656335079,19225.36,0,"1126 Heavy Fuel Oil","FS PARTNERS"
agr-7200000989,agr,"IBM CANADA",134718.27,2015-11-30,2015,2017,3,44906.09,23047.53,4,"473 Information Technology and Telecommunications Consultants","IBM CANADA LTD"
agr-3000597010,agr,"MANDEL SCIENTIFIC COMPANY",31763.13,2015-12-14,2015,2016,2,15881.565,31763.13,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","MANDEL SCIENTIFIC COMPANY INC."
agr-7200000810,agr,"IBM CANADA",132716.9,2015-04-20,2015,2016,2,66358.45,47520.12,2,"473 Information Technology and Telecommunications Consultants","IBM CANADA LTD"
agr-3000560388,agr,"ALTIS HR",95504.78,2014-11-14,2014,2015,2,47752.39,95504.78,0,"813 Temporary Help Services","ALTIS HR"
agr-3000562327,agr,"R A MALATEST & ASSOCIATES",64918.51,2014-11-24,2014,2015,2,32459.255,63336.51,2,"491 Management Consulting","R A MALATEST & ASSOCIATES LTD"
agr-3000582723,agr,"AMEC FOSTER WHEELER",24150,2015-06-16,2015,2015,1,24150,24150,0,"420 Engineering Services not Elsewhere Specified","AMEC FOSTER WHEELER"
agr-3000571519,agr,"FISHER SCIENTIFIC",13655.58,2015-02-26,2015,2015,1,13655.58,13655.58,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","FISHER SCIENTIFIC"
agr-3000583505,agr,"UNIVERSITY OF NEW BRUNSWICK",11074,2015-06-24,2015,2015,1,11074,11074,0,"430 Scientific Services","UNIVERSITY OF NEW BRUNSWICK"
agr-3000584251,agr,"GROUP 92 MECHANICAL",115112.95,2015-06-16,2015,2015,1,115112.95,108470.96,2,"656 Heating, Air-conditioning and Refrigeration Equipment","GROUP 92 MECHANICAL INC."
agr-3000570642,agr,"THERMO FISHER SCIENTIFIC",28249.59,2015-02-20,2015,2015,1,28249.59,28249.59,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","THERMO FISHER SCIENTIFIC"
agr-20150450A,agr,"BOREAL LASER",31657.5,2015-01-15,2015,2015,1,31657.5,31657.5,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","BOREAL LASER INC."
agr-3000587026,agr,"FISHER SCIENTIFIC",19148.85,2015-08-11,2015,2016,2,9574.425,19148.85,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","FISHER SCIENTIFIC"
agr-3000524342,agr,"STREAK FREE JANITORIAL (1068722 AB)",1240019.56,2013-08-01,2013,2016,4,310004.89,407380.05,3,"811 Contracted Building Cleaning","STREAK FREE JANITORIAL (1068722 AB LTD)"
agr-3000591442,agr,"NORDIC INDUSTRIES (1979)",15221,2015-10-13,2015,2015,1,15221,15221,0,"628 Other Engineering Works","NORDIC INDUSTRIES (1979) LTD."
agr-3000520478,agr,"GUNTA  VITINS",24999,2013-06-07,2013,2015,3,8333,24999,0,"231 Data Communications Services","GUNTA  VITINS"
agr-3000566278,agr,"FAIRLINE ELECTRIC LIMITED",10425.9,2015-01-16,2015,2015,1,10425.9,10425.9,0,"658 Electric Lighting, Distribution and Control Equipment","FAIRLINE ELECTRIC LIMITED"
agr-3000588136,agr,"FLEET FCA CANADA",25440.45,2015-08-27,2015,2016,2,12720.225,25440.45,0,"1261 Road Motor Vehicles","FLEET - FCA CANADA INC"
agr-3000568763,agr,"PATHFINDER SYSTEMS DESIGN",25548.17,2015-02-10,2015,2015,1,25548.17,24994.47,2,"859 Other Business Services not Elsewhere Specified","PATHFINDER SYSTEMS DESIGN LTD."
agr-7200000635,agr,"TURTLE TECHNOLOGIES",67800,2014-04-01,2014,2015,2,33900,40680,2,"473 Information Technology and Telecommunications Consultants","TURTLE TECHNOLOGIES INC"
agr-3000586159,agr,"DIRECT MECHANICAL",42691.4,2015-07-28,2015,2015,1,42691.4,42691.4,0,"422 Engineering Consultants - Construction","DIRECT MECHANICAL LTD."
agr-3000551662,agr,"OVATIO/ LEROUX",632578.81,2014-06-04,2014,2017,4,158144.7025,320920,2,"331 Exposition Services","OVATIO/ LEROUX INC."
agr-3000580307,agr,"DURHAM GEO SLOPE INDICATOR",25153.59,2015-05-20,2015,2015,1,25153.59,25153.59,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","DURHAM GEO SLOPE INDICATOR"
agr-3000558454,agr,"INFORMA ECONOMICS",13125.14,2014-09-26,2014,2015,2,6562.57,13125.14,0,"361 Electronic subscriptions and electronic publications","INFORMA ECONOMICS INC"
agr-20110528A,agr,"IBM CANADA",5520000,2012-05-31,2012,2017,6,920000,1890000.01,3,"473 Information Technology and Telecommunications Consultants","IBM CANADA LTD"
agr-3000564275,agr,WINTERSTEIGER,23534.52,2014-12-16,2014,2015,2,11767.26,23534.52,0,"1219 Other Machinery and Parts",WINTERSTEIGER
agr-3000590182,agr,"AGRI-SAKI CONSULSULTING",24860,2015-09-28,2015,2016,2,12430,24860,0,"491 Management Consulting","AGRI-SAKI CONSULSULTING INC"
agr-3000560892,agr,"A/C MECHANICAL REFRIGERATION",21467.18,2014-10-28,2014,2015,2,10733.59,15537.5,2,"656 Heating, Air-conditioning and Refrigeration Equipment","A/C MECHANICAL REFRIGERATION LTD."
agr-7200000736,agr,"CGI INFORMATIONS SYSTEMS AND MANAGEMENT CONSULTANTS",95972.26,2014-12-16,2014,2015,2,47986.13,85773.78,2,"473 Information Technology and Telecommunications Consultants","CGI INFORMATIONS SYSTEMS AND MANAGEMENT CONSULTANTS INC."
agr-3000566627,agr,"BRYDEN MARTEL ARCHITECTS",45472.05,2015-01-14,2015,2016,2,22736.025,31012.85,2,"421 Architectural Services","BRYDEN MARTEL ARCHITECTS INC."
agr-3000554374,agr,"ALLARD FIRE PROTECTION",31398.18,2014-07-01,2014,2017,4,7849.545,31398.18,0,"460 Protection Services","ALLARD FIRE PROTECTION INC."
agr-3000586694,agr,"GREEN DIAMOND EQUIPMENT",24521.46,2015-08-06,2015,2015,1,24521.46,24521.46,0,"1219 Other Machinery and Parts","GREEN DIAMOND EQUIPMENT LTD."
agr-7200000536,agr,"SIERRA SYSTEMS CONSULTANTS",819662.46,2013-04-01,2013,2015,3,273220.82,18984,8,"473 Information Technology and Telecommunications Consultants","SIERRA SYSTEMS CONSULTANTS"
agr-3000538555,agr,"ERNST & YOUNG LLP",247587.52,2014-01-27,2014,2015,2,123793.76,118948.32,2,"401 Accounting and Audit Services","ERNST & YOUNG LLP"
agr-3000589793,agr,"GATEWAY MECHANICAL SERVICES",22410.53,2015-09-21,2015,2016,2,11205.265,17152.8,3,"656 Heating, Air-conditioning and Refrigeration Equipment","GATEWAY MECHANICAL SERVICES INC"
agr-3000584603,agr,"D C ELECTRIC",12571.76,2015-07-08,2015,2015,1,12571.76,10500,2,"658 Electric Lighting, Distribution and Control Equipment","D C ELECTRIC"
agr-3000563137,agr,"PARSONS BRINCKERHOFF  HALSALL",30001.5,2014-11-04,2014,2016,3,10000.5,20001,6,"421 Architectural Services","PARSONS BRINCKERHOFF  HALSALL INC."
agr-3000594066,agr,"INTERIOR ROOFING",18188.63,2015-11-04,2015,2016,2,9094.315,16275,2,"630 Office Buildings","INTERIOR ROOFING"
agr-3000598091,agr,"FISHER SCIENTIFIC",19769.35,2015-12-23,2015,2016,2,9884.675,19769.35,0,"1249 Other Equipment and Parts","FISHER SCIENTIFIC"
agr-3000453038,agr,"CANON CANADA",53211.44,2011-12-01,2011,2016,6,8868.57333333,34289.17,3,"533 Rental of Machinery, Office Furniture and Fixtures and Other Equipment","CANON CANADA INC."
agr-3000558627,agr,"ÉRIC PAINCHAUD ARCHITECTE ET ASSOCIÉS",14371.89,2014-09-30,2014,2015,2,7185.945,10577.71,3,"421 Architectural Services","ÉRIC PAINCHAUD, ARCHITECTE ET ASSOCIÉS INC."
agr-3000519956,agr,"JOHN SWEEPING",18193,2013-06-03,2013,2015,3,6064.33333333,18193,0,"499 Other Professional Services not Elsewhere Specified","JOHN SWEEPING"
agr-3000588022,agr,"FOSS  NORTH  AMERICA",33399.55,2015-08-26,2015,2019,5,6679.91,33399.55,0,"655 Processing Machinery","FOSS  NORTH  AMERICA INC."
agr-3000590765,agr,"OPEN STORAGE SOLUTIONS",20679,2015-10-02,2015,2015,1,20679,20679,0,"1282 Computer Equipment - Servers (includes related parts and peripherals)","OPEN STORAGE SOLUTIONS"
agr-3000597144,agr,"FLEET FCA CANADA",52718.4,2015-12-15,2015,2016,2,26359.2,52718.4,0,"1261 Road Motor Vehicles","FLEET - FCA CANADA INC"
agr-3000570910,agr,"POWERJET PLUS",18018,2015-02-23,2015,2015,1,18018,18018,0,"1219 Other Machinery and Parts","POWERJET PLUS"
agr-3000532155,agr,CIMAISE,26610.63,2013-11-15,2013,2015,3,8870.21,24374.71,3,"423 Engineering Consultants - Other","CIMAISE INC"
agr-3000563921,agr,"OVATIO/ LEROUX",436982.3,2014-11-13,2014,2017,4,109245.575,226000,2,"331 Exposition Services","OVATIO/ LEROUX INC."
agr-3000573035,agr,"GUILLEVIN INTERNATIONAL CO",24412.5,2015-03-09,2015,2015,1,24412.5,24412.5,0,"1242 Electric Lighting, Distribution and Control Equipment and Parts","GUILLEVIN INTERNATIONAL CO."
agr-20150146A,agr,BRAD,16876.55,2014-09-30,2014,2015,2,8438.275,16876.55,0,"301 Advertising Services","BRAD INC"
agr-3000572909,agr,"BIO-RAD LABORATORIES (CANADA)",30944.8,2015-03-09,2015,2015,1,30944.8,30944.8,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","BIO-RAD LABORATORIES (CANADA) LTD."
agr-3000587383,agr,"ILLUMINA CANADA",37446.29,2015-08-17,2015,2015,1,37446.29,37446.29,0,"1130 Inorganic and Organic Chemicals, Including Plastics, Rubber and Products, and Excluding Tires and Tubes","ILLUMINA CANADA INC"
