ID,Department,"Vendor Name","Contract Value","Contract Date","Start Year","End Year","Original Value","Number of Amendments",Description,"Original Vendor Name"
agr-3000539979,agr,"DIAMOND BAR EQUIPMENT",13897.8,2014-02-05,2014,2014,13897.8,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","DIAMOND BAR EQUIPMENT"
agr-7200001065,agr,"ADGA GROUP",96841,2016-03-08,2016,2017,19097,2,"473 Information Technology and Telecommunications Consultants","ADGA GROUP CONSULTANTS INC."
agr-3000560989,agr,"ELEANOR THOMSON",22800,2014-11-17,2014,2015,22800,0,"430 Scientific Services","ELEANOR THOMSON"
agr-7200000352,agr,CGI,1999893.34,2011-11-14,2011,2014,800000,0,"473 Information Technology and Telecommunications Consultants","CGI INFORMATIONS SYSTEMS AND MANAGEMENTS CONSULTANTS INC."
agr-20161017A,agr,"VISION FOR YOU LLC",384300,2015-12-01,2015,2016,384300,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","VISION FOR YOU LLC"
agr-3000517846,agr,"WESTPLACE ENTERPRISES",26250.03,2013-05-01,2013,2015,10500,2,"655 Processing Machinery","WESTPLACE ENTERPRISES LTD."
agr-3000528487,agr,"LARRY PENNER ENTERPRISES",30100,2013-09-01,2013,2014,24000,3,"1124 Diesel Fuel","LARRY PENNER ENTERPRISES INC"
agr-7200000589,agr,"MAPLESOFT GROUP",1616684.45,2013-09-18,2013,2018,124587.75,2,"473 Information Technology and Telecommunications Consultants","MAPLESOFT GROUP"
agr-3000609737,agr,TECHNICO-LAIT,19220,2016-02-10,2016,2016,19220,0,"1219 Other Machinery and Parts","TECHNICO-LAIT INC"
agr-3000630171,agr,"DMT MECHANICAL",41679.75,2016-12-21,2016,2017,41679.75,0,"645 Other Buildings","DMT MECHANICAL LTD."
agr-7200001242,agr,"CACHE CONSULTING CORPORATION",134922,2016-09-13,2016,2017,134922,0,"473 Information Technology and Telecommunications Consultants","CACHE CONSULTING CORPORATION"
agr-3000593729,agr,"KONCRETE CONSTRUCTION GROUP",245306.25,2015-11-04,2015,2016,163537.5,2,"628 Other Engineering Works","KONCRETE CONSTRUCTION GROUP"
agr-7200001049,agr,"INTERIS CONSULTING",58477.5,2016-04-01,2016,2016,38985,2,"473 Information Technology and Telecommunications Consultants","INTERIS CONSULTING INC."
agr-3000461983,agr,"BRODERICK GARDEN CENTRE (2012)",57046.51,2012-04-01,2012,2014,18456.38,0,"859 Other Business Services not Elsewhere Specified","BRODERICK GARDEN CENTRE (2012)"
agr-3000530446,agr,"IMPERIAL OIL LIMITED",28600,2013-09-01,2013,2014,23000,3,"1124 Diesel Fuel","IMPERIAL OIL LIMITED"
agr-3000564064,agr,"BRONSON CONSULTING GROUP",24916.5,2014-12-16,2014,2015,24916.5,0,"491 Management Consulting","BRONSON CONSULTING GROUP"
agr-3000593161,agr,"PLOMBERIE CARILLON CONFORT ÉLITE",22075.2,2015-10-30,2015,2015,22075.2,0,"1219 Other Machinery and Parts","PLOMBERIE CARILLON INC / CONFORT ÉLITE"
agr-20150308A,agr,"IONICS MASS SPECTROMETRY GROUP",44070,2015-01-09,2015,2015,44070,0,"1249 Other Equipment and Parts","IONICS MASS SPECTROMETRY GROUP"
agr-201421A,agr,BRUKER,73133.76,2014-01-23,2014,2014,73133.76,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","BRUKER LTD"
agr-3000567625,agr,"JOHNSON CONTROLS #C3039",16195.2,2015-01-28,2015,2015,15302.7,0,"1249 Other Equipment and Parts","JOHNSON CONTROLS #C3039"
agr-20161559B,agr,"ANKOM TECHNOLOGY CORPORATION",70483.08,2016-03-11,2016,2016,70483.08,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","ANKOM TECHNOLOGY CORPORATION"
agr-7200000697,agr,"TURTLE TECHNOLOGIES",123136.1,2014-10-22,2014,2015,66862.1,2,"473 Information Technology and Telecommunications Consultants","TURTLE TECHNOLOGIES INC"
agr-3000552865,agr,AGRI-MECHANICAL,24850,2014-06-25,2014,2014,24850,0,"1219 Other Machinery and Parts","AGRI-MECHANICAL LTD."
agr-3000443700,agr,"GOWLING LAFLEUR HENDERSON LLP",655000,2011-07-18,2011,2019,551250,0,"410 Legal Services","GOWLING LAFLEUR HENDERSON LLP"
agr-3000618800,agr,"GARVEN & ASSOCIATES CONSULTING",40341,2016-08-02,2016,2017,40341,0,"491 Management Consulting","Garven & Associates Consulting Ltd."
agr-3000524787,agr,"FORRESTER RESEARCH",30875.76,2013-08-08,2013,2014,30875.76,0,"1143 Printed Matter, Including Books, Newspapers, Pictures, Manuscripts and Forms","FORRESTER RESEARCH INC"
agr-3000585259,agr,QIAGEN,11160.36,2015-07-16,2015,2016,11160.36,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","QIAGEN INC"
agr-3000569964,agr,"FISHER SCIENTIFIC",13204.8,2015-02-16,2015,2015,13204.8,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","FISHER SCIENTIFIC"
agr-3000547627,agr,"CANADIAN CORPS OF COMMISSIONAIRES",82782,2014-04-01,2014,2015,82782,0,"460 Protection Services","CORPS CANADIEN DES COMMISSIONNAIRES"
agr-3000511664,agr,"INSIDE WASHINGTON PUBLISHERS",38705.44,2013-03-01,2013,2017,9676.36,3,"361 Electronic subscriptions and electronic publications","INSIDE WASHINGTON PUBLISHERS"
agr-3000628115,agr,"ADVANCED ENERGY MANAGEMENT",24822.75,2016-11-28,2016,2017,24822.75,0,"658 Electric Lighting, Distribution and Control Equipment","ADVANCED ENERGY MANAGEMENT LTD."
agr-3000520000,agr,"VALOGGIA LINGUISTIQUE",14336,2013-03-04,2013,2014,12040,2,"447 Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","VALOGGIA LINGUISTIQUE INC."
agr-3000539175,agr,"BLACK & MCDONALD",12209.4,2014-01-29,2014,2014,12209.4,0,"1241 Plumbing Equipment and Fittings, Including Parts","BLACK & MCDONALD  LTD"
agr-7200000742,agr,"IBM CANADA",64307.66,2015-01-05,2015,2015,64307.66,0,"473 Information Technology and Telecommunications Consultants","IBM CANADA LTD"
agr-3000535796,agr,"ECOLE DE LANGUE NOUVEL ESPOIR",10453,2014-01-06,2014,2014,10434,2,"447 Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","ECOLE DE LANGUE NOUVEL ESPOIR INC"
agr-3000571534,agr,"LES ALARMES PERFECTION",23971.66,2015-02-26,2015,2015,23971.66,0,"1245 Safety and Sanitation Equipment and Parts","LES ALARMES PERFECTION"
agr-3000522714,agr,"RL BLEAU LTÉE",18470.73,2013-07-15,2013,2013,18470.73,0,"607 Highways, Roads and Streets","RL BLEAU LTÉE"
agr-3000575234,agr,"AB SCIEX SALES LP",15017.46,2015-03-31,2015,2015,14997.32,0,"1285 Application Software (including COTS) and Application Development and Delivery Software","AB SCIEX SALES LP"
agr-3000565609,agr,"QMR CONSULTING & PROFESSIONAL STAFFING",16385,2015-01-09,2015,2015,16385,0,"491 Management Consulting","QMR CONSULTING & PROFESSIONAL STAFFING"
agr-3000540112,agr,"FISHER SCIENTIFIC",19071.64,2014-02-06,2014,2014,19071.64,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","FISHER SCIENTIFIC"
agr-3000538662,agr,"EQUIPEMENTS ET PIECES JCLENR",20605.19,2014-01-28,2014,2014,20605.19,0,"1261 Road Motor Vehicles","EQUIPEMENTS ET PIECES J.C.L.ENR."
agr-20140071A,agr,"KASHA FARM SUPPLIES",41353,2013-09-13,2013,2013,41353,0,"1219 Other Machinery and Parts","KASHA FARM SUPPLIES"
agr-3000537724,agr,"WATERS LIMITED",24913.33,2014-01-22,2014,2014,24913.33,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","WATERS LIMITED"
agr-3000564050,agr,"FISHER SCIENTIFIC",18370.42,2014-12-15,2014,2015,18370.42,0,"660 Measuring, Controlling, Laboratory, Medical and Optical Instruments, Apparatus and Accessories","FISHER SCIENTIFIC"
agr-3000544307,agr,"RAYMOND SC WAN",10967.92,2014-03-04,2014,2014,10500,2,"421 Architectural Services","RAYMOND S.C. WAN"
agr-20160182A,agr,"SAS INSTITUTE",231100.82,2015-09-01,2015,2016,231100.82,0,"1285 Application Software (including COTS) and Application Development and Delivery Software","SAS INSTITUTE (CANADA) INC"
agr-3000496842,agr,"CANON CANADA",47871.44,2012-12-01,2012,2016,20401.02,2,"533 Rental of Machinery, Office Furniture and Fixtures and Other Equipment","CANON CANADA INC."
agr-3000490340,agr,"AGILENT TECHNOLOGIES",171974.7,2012-09-14,2012,2015,57324.9,2,"660 Measuring, Controlling, Laboratory, Medical and Optical Instruments, Apparatus and Accessories","AGILENT TECHNOLOGIES"
agr-3000627614,agr,"CEDARLANE LABORATORIES",10208.98,2016-11-22,2016,2016,10208.98,0,"1139 Miscellaneous Chemical Products","CEDARLANE LABORATORIES LTD"
agr-3000453666,agr,"CANON CANADA",28387.93,2011-11-01,2011,2015,19957.46,0,"533 Rental of Machinery, Office Furniture and Fixtures and Other Equipment","CANON CANADA INC."
agr-20160768A,agr,"BIO-RAD LABORATORIES (CANADA)",102779.25,2015-12-15,2015,2016,102779.25,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","BIO-RAD LABORATORIES (CANADA) LTD."
agr-3000526484,agr,"ILLUMINA CANADA",14066.9,2013-09-04,2013,2013,14066.9,0,"1171 Medical Supplies, etc.","ILLUMINA CANADA INC"
agr-3000603041,agr,"BLACK & MCDONALD",19701.55,2016-02-08,2016,2016,19701.55,0,"656 Heating, Air-conditioning and Refrigeration Equipment","BLACK & MCDONALD LTD"
agr-3000608225,agr,VOLLMER,25360.59,2016-03-03,2016,2016,25360.59,0,"1160 Ferrous Metals","VOLLMER INC."
agr-3000504584,agr,"ALLIANCE OF CROPSOIL AND ENVIRONMENTAL SCIENCE SOCIETY",159545.42,2013-01-24,2013,2016,37148,3,"361 Electronic subscriptions and electronic publications","ALLIANCE OF CROP,SOIL AND ENVIRONMENTAL SCIENCE SOCIETY"
agr-3000553668,agr,"CASEWARE IDEA",14746.5,2014-07-10,2014,2014,14746.5,0,"1285 Application Software (including COTS) and Application Development and Delivery Software","CASEWARE IDEA INC."
agr-3000549621,agr,MOON-MATZ,39211,2014-04-28,2014,2015,39211,0,"423 Engineering Consultants - Other","MOON-MATZ LTD."
agr-3000557045,agr,"IMPERIAL OIL LIMITED",12535,2014-09-01,2014,2015,10500,4,"1122 Gasoline","IMPERIAL OIL LIMITED"
agr-3000532683,agr,"FORD MOTOR COMPANY OF CANADA",35583.08,2013-11-21,2013,2014,35583.08,0,"1261 Road Motor Vehicles","FORD MOTOR COMPANY OF CANADA"
agr-3000560991,agr,ENER-TECH,56229.93,2014-10-27,2014,2015,56229.93,0,"630 Office Buildings",ENER-TECH
agr-3000563315,agr,"RHF SYSTEMS",23551.5,2014-12-04,2014,2015,23551.5,0,"430 Scientific Services","RHF SYSTEMS LTD."
agr-3000589982,agr,"IMPERIAL OIL LIMITED",21000,2015-09-01,2015,2016,21000,0,"1122 Gasoline","IMPERIAL OIL LIMITED"
agr-3000537031,agr,"BAYVIEW TRUCKS & EQUIPMENT",19210,2014-01-16,2014,2014,19210,0,"1219 Other Machinery and Parts","BAYVIEW TRUCKS & EQUIPMENT"
agr-3000622773,agr,"THERMO FISHER SCIENTIFIC",23592.14,2016-09-26,2016,2016,23592.14,0,"660 Measuring, Controlling, Laboratory, Medical and Optical Instruments, Apparatus and Accessories","THERMO FISHER SCIENTIFIC"
agr-20161212A,agr,"DELL COMPUTER CORP (CANADA)",21854.04,2016-03-01,2016,2016,21854.04,0,"1223 Image/Video Communications Equipment (including related parts and peripherals)","DELL COMPUTER CORP. (CANADA)"
agr-3000569482,agr,"TIPP OFF",15750,2015-02-11,2015,2015,15750,0,"658 Electric Lighting, Distribution and Control Equipment","TIPP OFF INC."
agr-3000534275,agr,"CANADA COMPOUND CORPORATION",23278,2013-12-11,2013,2013,23278,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","CANADA COMPOUND CORPORATION"
agr-3000539243,agr,"VWR  INTERNATIONAL",23465.19,2014-01-31,2014,2014,23465.19,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","VWR  INTERNATIONAL LTD."
agr-20140394A,agr,"BIO-RAD LABORATORIES (CANADA)",92505,2014-01-28,2014,2014,92505,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","BIO-RAD LABORATORIES (CANADA) LTD."
agr-3000525646,agr,"AUTOMATIC TEMPERATURE CONTROL",25000,2013-08-01,2013,2014,25000,0,"645 Other Buildings","AUTOMATIC TEMPERATURE CONTROL"
agr-3000538455,agr,"ILLUMINA CANADA",20377.38,2014-01-27,2014,2014,20377.38,0,"1139 Miscellaneous Chemical Products","ILLUMINA CANADA INC"
agr-3000558577,agr,"THE ASSOCIATES GROUP OF COMPANIES",10660.91,2014-10-01,2014,2015,8380.93,0,"813 Temporary Help Services","THE ASSOCIATES GROUP OF COMPANIES"
agr-3000612380,agr,"JOHNSON CONTROLS",11633.98,2016-05-06,2016,2016,11633.98,0,"656 Heating, Air-conditioning and Refrigeration Equipment","JOHNSON CONTROLS LTD"
agr-3000568707,agr,"SYNTHESIS AGRI-FOOD NETWORK",10074.26,2015-02-09,2015,2015,10074.26,0,"491 Management Consulting","SYNTHESIS AGRI-FOOD NETWORK"
agr-3000582426,agr,"CONTROLLED ENVIRONMENTS LIMITED",21458.7,2015-06-12,2015,2015,21458.7,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","CONTROLLED ENVIRONMENTS LIMITED"
agr-3000607210,agr,"OVATIO/ LEROUX",380101.31,2015-10-23,2015,2016,380101.31,0,"331 Exposition Services","OVATIO/ LEROUX INC."
agr-3000538713,agr,"UNIVERSITY OF NEW BRUNSWICK",130328.55,2014-02-27,2014,2016,129893.5,2,"499 Other Professional Services not Elsewhere Specified","UNIVERSITY OF NEW BRUNSWICK"
agr-3000572191,agr,"ATS SCIENTIFIC",18658.78,2015-03-03,2015,2015,18658.78,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","ATS SCIENTIFIC INC."
agr-3000546092,agr,"VWR INTERNATIONAL CO",12371.09,2014-03-14,2014,2014,12371.09,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","VWR INTERNATIONAL CO."
agr-3000531495,agr,"CAPITAL AIRWAYS",211480.5,2013-11-06,2013,2014,171160.5,2,"859 Other Business Services not Elsewhere Specified","CAPITAL AIRWAYS INC"
agr-3000603780,agr,"FISHER SCIENTIFIC",10500,2016-02-11,2016,2016,10500,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","FISHER SCIENTIFIC"
agr-3000554493,agr,"MERCERS PAVING",14396.2,2014-07-23,2014,2014,14396.2,0,"607 Highways, Roads and Streets","MERCER'S PAVING INC"
agr-3000624985,agr,"GENOME QUEBEC",18681.13,2016-10-20,2016,2016,18681.13,0,"430 Scientific Services","GENOME QUEBEC"
agr-20140718A,agr,MARKETWIRE,14916,2014-04-01,2014,2015,14916,0,"351 Communications Professional Services not Elsewhere Specified",MARKETWIRE
agr-3000577638,agr,MARBICON,81360,2015-04-22,2015,2016,81360,0,"431 Scientific Consultants","MARBICON INC."
agr-3000595318,agr,"ATS SCIENTIFIC",22484.64,2015-11-24,2015,2016,22484.64,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","ATS SCIENTIFIC INC."
agr-1900126416,agr,"ARI FINANCIAL SERVICES",13912.03,2016-02-24,2016,2016,13912.03,0,"682 Repair and Maintenance Motor Vehicle - accident","ARI FINANCIAL SERVICES INC"
agr-3000546819,agr,"RECO CONSTRUCTION 2010",15018.7,2014-02-11,2014,2014,15018.7,0,"611 Waterworks and Sewage Systems","RECO CONSTRUCTION 2010 LTD."
agr-3000591774,agr,"DAVIDS LAWN CARE",13125,2015-11-01,2015,2016,13125,0,"859 Other Business Services not Elsewhere Specified","DAVID'S LAWN CARE LTD"
agr-3000535572,agr,"ALLIANCE ENGINEERING & CONSTRUCTION",45705.11,2013-12-30,2013,2014,39770.35,2,"630 Office Buildings","ALLIANCE ENGINEERING & CONSTRUCTION"
agr-3000462200,agr,"WASTE MANAGEMENT OF CANADA CORP",151844,2011-04-01,2012,2016,57158.03,3,"859 Other Business Services not Elsewhere Specified","WASTE MANAGEMENT OF CANADA CORP."
agr-3000592999,agr,"KENNEDY CLEANING SERVICES",18760.26,2015-11-01,2015,2016,14197.32,2,"811 Contracted Building Cleaning","KENNEDY CLEANING SERVICES INC"
agr-3000617017,agr,"RAYMOND CHABOT GRANT THORNTON",22035,2016-07-05,2016,2016,22035,0,"401 Accounting and Audit Services","RAYMOND CHABOT GRANT THORNTON"
agr-3000557052,agr,"IMPERIAL OIL LIMITED",80000,2014-09-01,2014,2015,60000,2,"1124 Diesel Fuel","IMPERIAL OIL LIMITED"
agr-3000530076,agr,"FAIRLINE ELECTRIC LIMITED",33212,2013-10-21,2013,2013,33212,0,"658 Electric Lighting, Distributinon and control Equipment","FAIRLINE ELECTRIC LIMITED"
agr-3000591080,agr,"AG-QUEST HOLDINGS",24998.99,2015-10-06,2015,2016,24998.99,0,"210 Transportation of Things not Elsewhere Specified","AG-QUEST HOLDINGS LTD"
agr-3000530322,agr,"CANADAWIDE SCIENTIFIC LIMITED",17449.19,2013-10-23,2013,2013,17449.19,0,"1249 Other Equipment and Parts","CANADAWIDE SCIENTIFIC LIMITED"
agr-3000579870,agr,"LONG CREEK FARMS",63971.25,2015-05-12,2015,2015,45071.25,2,"422 Engineering Consultants - Construction","LONG CREEK FARMS LTD"
agr-20130671A,agr,"BUCKHORN EARTHMOVING",695983.05,2013-08-27,2013,2014,649425,2,"628 Other Engineering Works","BUCKHORN EARTHMOVING LTD."
agr-3000559104,agr,"UNIVERSITY OF GUELPH",98875,2014-10-07,2014,2017,19775,3,"430 Scientific Services","UNIVERSITY OF GUELPH"
agr-3000534694,agr,"CANON CANADA",21616.17,2014-01-01,2014,2015,13031.16,3,"533 Rental of Machinery, Office Furniture and Fixtures and Other Equipment","CANON CANADA INC."
agr-3000615741,agr,"GRAYBRIDGE MALKAM",12237.9,2016-07-04,2016,2016,12023.2,2,"447 Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","GRAYBRIDGE MALKAM"
agr-3000566191,agr,"MELISSA HENEY",65835,2015-02-01,2015,2018,21945,3,"811 Contracted Building Cleaning","MELISSA HENEY"
agr-3000452483,agr,"CANON CANADA",14211.83,2011-11-01,2011,2016,9637.64,2,"533 Rental of Machinery, Office Furniture and Fixtures and Other Equipment","CANON CANADA INC."
agr-7200001056,agr,"CACHE CONSULTING CORPORATION",253572,2016-04-01,2016,2016,253572,0,"473 Information Technology and Telecommunications Consultants","CACHE CONSULTING CORPORATION"
agr-3000522610,agr,"EASTERN COURIER PE",61442.06,2013-09-01,2013,2017,13445.85,6,"213 Courier Services","EASTERN COURIER PE"
agr-7200000738,agr,"SPAGHETTI LOGIC",84750,2014-12-15,2014,2015,84750,0,"473 Information Technology and Telecommunications Consultants","SPAGHETTI LOGIC INC."
agr-3000553776,agr,"SHARP EDGE TOOL",10452.5,2014-07-04,2014,2014,10452.5,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","SHARP EDGE TOOL LTD."
agr-3000628485,agr,"THERMO FISHER SCIENTIFIC",25052.41,2016-12-01,2016,2017,25052.41,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","THERMO FISHER SCIENTIFIC"
agr-3000534228,agr,"VWR INTERNATIONAL",22307.26,2013-12-10,2013,2014,22307.26,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","VWR INTERNATIONAL LTD."
agr-3000560147,agr,"FISHER SCIENTIFIC COMPANY",13645.74,2014-10-22,2014,2015,13645.74,0,"1243 Measuring, Controlling, Laboratory, Medical and Optical Equipment and Parts","FISHER SCIENTIFIC COMPANY"
agr-7200001018,agr,"IBM CANADA",24271.47,2016-01-28,2016,2016,11839.82,0,"473 Information Technology and Telecommunications Consultants","IBM CANADA LTD"
agr-3000531285,agr,"MID-PLAINS IMPLEMENTS",86068.5,2013-11-04,2013,2014,86068.5,0,"628 Other Engineering Works","MID-PLAINS IMPLEMENTS LTD"
agr-20160178A,agr,"FELIX TECHNOLOGY",45736.75,2016-01-04,2016,2016,45736.75,0,"1179 Miscellaneous Manufactured Articles","FELIX TECHNOLOGY INC"
agr-7200000903,agr,"TURTLE TECHNOLOGIES",127695.65,2015-07-13,2015,2016,82207.5,2,"473 Information Technology and Telecommunications Consultants","TURTLE TECHNOLOGIES INC"
agr-3000557988,agr,"MAJOR BOX",24611.41,2014-09-22,2014,2015,24611.41,0,"1179 Miscellaneous Manufactured Articles","MAJOR BOX INC"
agr-3000534118,agr,"ILLUMINA CANADA",25425.24,2013-12-09,2013,2014,25425.24,0,"1171 Medical Supplies, etc.","ILLUMINA CANADA INC"
agr-3000610501,agr,"PATTISON SIGN GROUP",12430.32,2016-04-18,2016,2016,9090.61,0,"665 Other Equipment","PATTISON SIGN GROUP"
agr-3000548199,agr,"ALBRIGHT REFRIGERATION",10493.45,2014-03-03,2014,2014,10493.45,0,"656 Heating, Air-conditioning and Refrigeration Equipment","ALBRIGHT REFRIGERATION LTD."
agr-3000595761,agr,"BRODER ELECTRIC",48219.36,2015-10-13,2015,2016,32618.58,2,"658 Electric Lighting, Distribution and Control Equipment","BRODER ELECTRIC LTD"
agr-3000567421,agr,"URBAN GLASSWORKS",71085,2015-01-22,2015,2015,71085,0,"628 Other Engineering Works","URBAN GLASSWORKS LTD"
agr-3000589585,agr,"UNIVERSITY OF SASKATCHEWAN",20524.56,2015-09-17,2015,2015,20524.56,0,"1283 Computer Equipment - Client Computing Domain - Desktop / Personal / Portable (Includes related parts and peripherals)","UNIVERSITY OF SASKATCHEWAN"
agr-3000553229,agr,"LES CONTROLES AC MONTREAL",367500.19,2014-07-03,2014,2015,364355.78,3,"645 Other Buildings","LES CONTROLES A.C. MONTREAL INC"
agr-3000551320,agr,"AGILENT TECHNOLOGIES",12044.78,2014-05-29,2014,2016,12044.78,0,"660 Measuring, Controlling, Laboratory, Medical and Optical Instruments, Apparatus and Accessories","AGILENT TECHNOLOGIES"
agr-3000600720,agr,"GJS FARM EQUIPMENT",24860,2016-01-22,2016,2016,24860,0,"1219 Other Machinery and Parts","GJ'S FARM EQUIPMENT INC."
agr-3000563291,agr,"CENTRE DE LANGUES INTERNATIONALES CHARPENTIER",59262,2015-01-05,2015,2016,32704,3,"447 Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","CENTRE DE LANGUES INTERNATIONALES CHARPENTIER INC."
agr-3000597837,agr,"SHASHI SHEKHAR JUNEJA",12000,2016-01-11,2016,2016,12000,0,"430 Scientific Services","SHASHI SHEKHAR JUNEJA"
agr-7200001045,agr,"SYSTEMATIX SOLUTIONS",338988.7,2016-04-01,2016,2017,195399.6,2,"473 Information Technology and Telecommunications Consultants","SYSTEMATIX SOLUTIONS INC"
agr-3000563476,agr,"ABCE LANGUAGE SCHOOL",16800,2015-01-05,2015,2015,16800,0,"447 Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","ABCE LANGUAGE SCHOOL INC."
agr-20160760A,agr,"COSSETTE COMMUNICATION",40536.35,2016-03-08,2016,2016,26119.95,0,"301 Advertising Services","COSSETTE COMMUNICATION INC."
agr-20170340A,agr,C-LOCK,111221.65,2016-09-19,2016,2016,111221.65,0,"1219 Other Machinery and Parts","C-LOCK INC."
agr-3000575863,agr,"MODSPACE FINANCIAL SERVICES",44863.35,2015-04-09,2015,2016,33094.95,2,"570 Rental - Other","MODSPACE FINANCIAL SERVICES"
agr-7200000557,agr,"FLEX TECH SERVICES",2074210.09,2013-05-27,2013,2016,145740,4,"473 Information Technology and Telecommunications Consultants","FLEX TECH SERVICES"
agr-3000618934,agr,"DOUGLAS LAKE EQUIPMENT",22707.3,2016-07-29,2016,2017,22707.3,0,"1219 Other Machinery and Parts","DOUGLAS LAKE EQUIPMENT LTD"
